content,generated,model
@ TiffanyATrump Happy birthday to my baby - and keep up the great work at school. We are all proud of you!,0,
Receiving thousands of thank you letters from @ LibertyU students for my convocation speech. The honor was all mine! Great people.,0,
It's important to remain open to new ideas and new information. Keep your door open every day to something innovative and energizing.,0,
"Icahn, Kravis, Zell, Buffett have all used the bankrutcy law to their benefit. Many of the top business people do.",0,
Great going to Bob Kraft & Bill Belichick of the @ Patriots on @ TimTebow. Tim is a winner just like them!,0,
The attack on our Libyan consulate was the worst attack on the US since 9/11. Time for Obama to come clean.,0,
"Miss USA pageant had a 4 to 1 vote in favor, but it won't be in Miami Doral in 2014-- Mayor Boria voted against it. I want total support!",0,
I still can’t believe we left Iraq without the oil.,0,
Wow! Letterman show @ Late_Show won the ratings last night big time--and guess who was his guest? DJT,0,
Glad to hear that @ ralphreed's Faith and Freedom Strategy Conference this past weekend in DC was a tremendous success.,0,
The mother of the Boston killers (not suspects) says her boys are totally innocent and were set up-I can see the 14 year long defense now!,0,
"Wow, honored to just pass 2.5M followers on @ twitter. Thanks to all my followers. We are going to have a great year together.",0,
Lightweight @ AGSchneiderman’s phony lawsuit against Trump U was decimated by the court—he’s a loser!,0,
Why does @ BarackObama have such a fascination with my plane? He is more than welcomed to come for a ride.,0,
The polling numbers for 2012 are very interesting--will Americans ultimately want their leaders to be 'likeable' or 'competent'?,0,
I said gas prices would sky rocket after election - Opec payback!,0,
. @ Deadspin guys are total losers—they had their story stolen right from under their bad complexions—other media capitalized!,0,
". @ mcuban has less TV persona than any other person I can think of. He’s an arrogant, crude, dope who met some very stupid people...",0,
I'll be on @ foxandfriends on Monday at 7:30 AM--tune in!,0,
"Back by popular demand, the fabulous @ LilJon returns to the record setting 13th season of All Star @ CelebApprentice. The fans love him!",0,
. @ GOP must stay focused on defunding ObamaCare and the impending budget battle. Don’t let Syria rule the agenda.,0,
I do not understand how so many of my Jewish friends backed Obama in the last election. He is a TOTAL DISASTER FOR ISRAEL-AND ALWAYS WILL BE,0,
"President Reagan put it best: ""Welfare's purpose should be to eliminate, as far as possible, the need for its own existence.""",0,
Justice Roberts changed his vote in order to make the media happy. He was intimidated by the press.,0,
I really like Chelsea Clinton--an amazing young woman. She got the best of both parents. ( @ IvankaTrump agrees),0,
"If Alex Salmond had not stupidly released terrorist al-Megrahi (PanAm flight 103) to his friends, there would be no Trump wind farm dispute.",0,
@ ChrisSuprun @ rjchoppy But didn't he bet on his own team--he paid the price.,0,
@ MELANIATRUMP on @ QVC tonight with her fabulous Melania Timepieces & Jewelry. Tune in at 1AM EST!,0,
New York Republican leader @ EdwardFCox is pushing my friend @ RobAstorino into political suicide. Results won’t be pleasant!,0,
Cyprus is seizing private bank accounts as collateral for €10bn bail-out. We owe $17T. Think it can’t happen here?,0,
"Just did theToday Show to announce that Baton Rouge, Louisiana will host the Miss USA Pageant on Sunday, June 8th. @ Miss USA.",0,
. @ chrislhayes replaced @ edshow on @ msnbc to increase ratings. It’s a shame Chris’ are even worse. Sad to see.,0,
Liberty University speech by DJT was biggest by far in school's history. Standing ovations...great young people!,0,
"“If you put the federal government in charge of the Sahara Desert, in 5 years there'd be a shortage of sand.” – Milton Friedman",0,
"Doesn’t dummy @ chucktodd realize that when I considered running for president, I filed financial papers showing unbelievable numbers.",0,
There are huge opportunities for profits if you can think big & create big solutions for the human needs brought by trends. -Think Big,0,
The next ObamaCare disaster will be doctors being dropped from plans.,0,
. @ StephenBaldwin7 thinks @ TheRealMarilu is ping-ponging all over the place. Do you agree? # CelebApprentice,0,
We spend billions of dollars helping nations all over the World but with hurricane Sandy and Oklahoma tornado not one nation helped us!,0,
Only two weeks until we start shooting @ CelebApprentice. We really have something amazing for the fans this year.,0,
Mike Bloomberg is doing a great job as Mayor of New York City. Ray Kelly is a great Police Commissioner. @ MikeBloomberg,0,
"When will the unemployment numbers be corrected? Sadly, after the election!",0,
Herman Cain handled the pressure of the debate really well. @ THEHermancain,0,
The sub-station in Blackdog is very dangerous on unregulated landfill—fire hazard! @ AlexSalmond @ pressjournal,0,
Doing Fox and Friends at 7.00 A.M. Hope you loved Apprentice last night.,0,
"Each time I see one of Anthony Weiner's television ads for mayor I ask, what the hell is he doing just wasting money & time-go get a job!",0,
Bird killing windfarm that I oppose in Aberdeen just got delayed by at least two years. @ AlexSalmond forced the failing developers to delay!,0,
NY State Republican Party must unify or November will be another disaster.,0,
"Can you imagine, with all of the talk about ObamaCare, technical breakdowns made it a disastrous day. Our government is badly broken!",0,
