ID,prediction
20160303022202,1
20160303052049,0
20160303052319,1
20160303055318,1
20160303063505,1
20160303064930,1
20160303070035,1
20160303080108,1
20160303080415,0
20160303084611,1
20160303090907,1
20160303094208,1
20160303095020,1
20160303100524,1
20160303101121,1
20160303104226,0
20160303104649,1
20160303110608,0
20160303111951,0
20160303112035,1
20160303115626,1
20160303122153,0
20160303132744,1
20160303135229,0
20160303141151,1
20160303144517,1
20160303144634,0
20160303151526,1
20160303154937,0
20160303155404,1
20160303165438,1
20160303174302,1
20160303182122,1
20160303190106,0
20160303204945,0
20160303205426,1
20160303235521,1
20160304033256,1
20160304043340,1
20160304054324,1
20160304064826,0
20160304065325,1
20160304065925,1
20160304072717,1
20160304073525,1
20160304083034,1
20160304091027,1
20160304092909,1
20160304093059,1
20160304095725,1
20160304095846,1
20160304100236,0
20160304102959,0
20160304105213,1
20160304120843,1
20160304122159,1
20160304131422,1
20160304135711,1
20160304141852,1
20160304143245,1
20160304144403,1
20160304144500,1
20160304160357,1
20160304174233,1
20160304174733,1
20160304175220,1
20160304182254,0
20160304184906,0
20160304193649,1
20160304194322,0
20160304202411,1
20160304203509,1
20160304204500,1
20160304234752,1
20160305043919,1
20160305045526,1
20160305051522,1
20160305055739,0
20160305061555,0
20160305065629,1
20160305072733,1
20160305074216,1
20160305074940,0
20160305082659,1
20160305083902,1
20160305091131,1
20160305091641,1
20160305092122,1
20160305095223,0
20160305104541,1
20160305110950,1
20160305111119,0
20160305112604,1
20160305113247,0
20160305113500,1
20160305114317,1
20160305125112,1
20160305125620,1
20160305125716,1
20160305130547,1
20160305141330,0
20160305152420,0
20160305152526,0
20160305153516,0
20160305172522,1
20160305175222,0
20160305180705,1
20160305183354,1
20160305192929,1
20160305194142,1
20160305210626,1
20160305232555,0
20160306012532,0
20160306021504,1
20160306054400,1
20160306055216,1
20160306060025,1
20160306065554,1
20160306070616,1
20160306071956,0
20160306081629,1
20160306083850,1
20160306091927,1
20160306092853,1
20160306102240,1
20160306103046,0
20160306110931,1
20160306114544,1
20160306115446,1
20160306115919,0
20160306121725,1
20160306123344,0
20160306123844,0
20160306130516,0
20160306131727,1
20160306132352,1
20160306133800,1
20160306134131,1
20160306134408,1
20160306140411,1
20160306141037,1
20160306150937,1
20160306151601,1
20160306152721,1
20160306162108,1
20160306170213,1
20160306173906,1
20160306173923,1
